Mount,Panel,Top/Shape,Material,Type,Size,Handing,Finish Texture,Panel Style,Hinge Finish,Casing Finish,Casing Profile,,Stock Item Number,Lowes Stock Item Number,New Number
Pre-hung,Panel,Square,Molded,2 Flat,453,RH,,PFJ,NK,,,,5509379,1168737,
Pre-hung,Panel,Square,Molded,2 Flat,453,LH,,PFJ,NK,,,,5509380,1168795,
Pre-hung,Panel,Square,Molded,2 Flat,453,RH,,PFJ,NK,,,,5509404,1168759,
Pre-hung,Panel,Square,Molded,2 Flat,453,LH,,PFJ,NK,,,,5509381,1170132,
Pre-hung,Panel,Square,Molded,2 Flat,453,RH,,PFJ,NK,,,,5509398,1169234,
Pre-hung,Panel,Square,Molded,2 Flat,453,LH,,PFJ,NK,,,,5509385,1169274,
Pre-hung,Panel,Square,Molded,2 Flat,453,RH,,PFJ,NK,,,,5509382,1170117,
Pre-hung,Panel,Square,Molded,2 Flat,453,LH,,PFJ,NK,,,,5509383,1168729,
Pre-hung,Panel,Square,Molded,2 Flat,453,RH,,PFJ,NK,,,,5509390,1168842,
Pre-hung,Panel,Square,Molded,2 Flat,453,LH,,PFJ,NK,,,,5509402,1168777,
Pre-hung,Panel,Square Raised,,2,356,RH,,PFJ/NK,,,,,271130,1101809,6035840
Pre-hung,Panel,Square Raised,,2,356,LH,,PFJ/NK,,,,,271132,1101810,6035842
Pre-hung,Panel,Square Raised,,2,356,RH,,PFJ/NK,,,,,271134,1101811,6035845
Pre-hung,Panel,Square Raised,,2,356,LH,,PFJ/NK,,,,,271136,1101812,6035848
Pre-hung,Panel,Square Raised,,2,356,RH,,PFJ/NK,,,,,271138,1101813,6035850
Pre-hung,Panel,Square Raised,,2,356,LH,,PFJ/NK,,,,,271140,1101814,6035852
Pre-hung,Panel,Square Raised,,2,356,RH,,PFJ/NK,,,,,271142,1101815,6035855
Pre-hung,Panel,Square Raised,,2,356,LH,,PFJ/NK,,,,,271143,1101816,6035858
Pre-hung,Panel,Square Raised,,2,356,RH,,PFJ/NK,,,,,271145,1101817,
Pre-hung,Panel,Square Raised,,2,356,LH,,PFJ/NK,,,,,271147,1101818,
Pre-hung,Panel,Square Raised,,2,366,RH,,PFJ,NK,,,,5509359,1168803,
Pre-hung,Panel,Square Raised,,2,366,LH,,PFJ,NK,,,,5509356,1169266,
Pre-hung,Panel,Square Raised,,2,366,RH,,PFJ,NK,,,,5509366,1169403,
Pre-hung,Panel,Square Raised,,2,366,LH,,PFJ,NK,,,,5509371,1168806,
Pre-hung,Panel,Square Raised,,2,366,RH,,PFJ,NK,,,,5509360,1170142,
Pre-hung,Panel,Square Raised,,2,366,LH,,PFJ,NK,,,,5509358,1169247,
Pre-hung,Panel,Square Raised,,2,366,RH,,PFJ,NK,,,,5509367,1169404,
Pre-hung,Panel,Square Raised,,2,366,LH,,PFJ,NK,,,,5509363,1168791,
Pre-hung,Panel,Square Raised,,2,366,RH,,PFJ,NK,,,,5509375,1168732,
Pre-hung,Panel,Square Raised,,2,366,LH,,PFJ,NK,,,,5509368,1170127,
Pre-hung,Panel,Craftsman,Molded,3,24,RH,SM,FLTNK,,,,,5675173,1101918,6035912
Pre-hung,Panel,Craftsman,Molded,3,24,LH,SM,FLTNK,,,,,5675176,1101919,
Pre-hung,Panel,Craftsman,Molded,3,28,RH,SM,FLTNK,,,,,5675168,1101920,6035914
Pre-hung,Panel,Craftsman,Molded,3,28,LH,SM,FLTNK,,,,,5675170,1101921,6035916
Pre-hung,Panel,Craftsman,Molded,3,30,RH,SM,FLTNK,,,,,5675178,1101922,6035918
Pre-hung,Panel,Craftsman,Molded,3,30,LH,SM,FLTNK,,,,,5675177,1101923,
Pre-hung,Panel,Craftsman,Molded,3,32,RH,SM,FLTNK,,,,,5675175,1101924,6035920
Pre-hung,Panel,Craftsman,Molded,3,32,LH,SM,FLTNK,,,,,5675174,1101925,
Pre-hung,Panel,Craftsman,Molded,3,36,RH,SM,FLTNK,,,,,5675184,1101926,6035922
