Door Style,Product Category,Size,Handing,Jamb,Casing,Hinges,Current Lowe's Stock Item Number,Lowe's Pro Stock Item Number,Image,Item Description,Full Description
2 Panel Round Top Molded,Single Pre-hung,32,RH,Split Jamb,356,Nickel Hinges,5690039,5731070,,32 PRO 2P RD TOP SM RH HC 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,32,LH,Split Jamb,356,Nickel Hinges,5690041,5731112,,32 PRO 2P RD TOP SM LH HC 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,36,RH,Split Jamb,356,Nickel Hinges,5690042,5731102,,36 PRO 2P RD TOP SM RH HC 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Single Pre-hung,36,LH,Split Jamb,356,Nickel Hinges,5690040,5731075,,36 PRO 2P RD TOP SM LH HC 356 NIK,2 Panel Round Top Molded-Hallow core-Single pre-hung- Split Jamb-356 casing- Nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),48,No Bore,Split Jamb,356,Nickel Hinges,NA,5738365,,48 PRO 2PRT MLD HC PFJ BC NK 356,2 Panel Round Top Molded - Hollow core-Bi-hinge - Split Jamb-with Ball catches-356 casing-nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),60,No Bore,Split Jamb,356,Nickel Hinges,NA,5738362,,60 PRO 2PRT MLD HC PFJ BC NK 356,2 Panel Round Top Molded - Hollow core-Bi-hinge - Split Jamb-with Ball catches-356 casing-nickel hinges
2 Panel Round Top Molded,Bi-hinge (French Door),72,No Bore,Split Jamb,356,Nickel Hinges,NA,5738360,,72 PRO 2PRT MLD HC PFJ BC NK 356,2 Panel Round Top Molded - Hollow core-Bi-hinge - Split Jamb-with Ball catches-356 casing-nickel hinges
2 Panel Square Flat,Slab,24,No Bore,No Jamb,No Casing,No Hinges,794063,1101955,,24 PRO 2PSQ RB MLD-F SM HC SLAB,2 Panel Square Flat-Hollow core-Molded-slab
2 Panel Square Flat,Slab,28,No Bore,No Jamb,No Casing,No Hinges,794064,1101956,,28 PRO 2PSQ RB MLD-F SM HC SLAB,2 Panel Square Flat-Hollow core-Molded-slab
2 Panel Square Flat,Slab,30,No Bore,No Jamb,No Casing,No Hinges,794065,1101957,,30 PRO 2PSQ RB MLD-F SM HC SLAB,2 Panel Square Flat-Hollow core-Molded-slab
