Program,Material,Core_Type,Style,Finish_Texture,Glass_Info,Configuration,Size_Width_in,Size_Height_in,Handing,Jamb_Type,Jamb_Casing,Hinge_Finish,Special_Features,Bore_Status,Original_Description,Current_Stock_Item_Number,Lowe's_Pro_Stock_Item_Number
Exterior Pro Program,Fiberglass,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,32,80,Left-Hand,Double Bore,,,,Bored,"32 HALF LITE MBLND 2PNL SMFG LH DB",935629,6541985
Exterior Pro Program,Fiberglass,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,32,80,Right-Hand,Double Bore,,,,Bored,"32 HALF LITE MBLND 2PNL SMFG RH DB",935630,6541986
Exterior Pro Program,Fiberglass,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 HALF LITE MBLND 2PNL SMFG LH DB",935631,6541979
Exterior Pro Program,Fiberglass,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 HALF LITE MBLND 2PNL SMFG RH DB",935632,6541977
Exterior Pro Program,Fiberglass,Solid Core,Flush,Smooth,Half View 9-Lite,Single Prehung,32,80,Left-Hand,Double Bore,,,,Bored,"32 HALF VIEW 9-LITE LH DB",253119,6541988
Exterior Pro Program,Fiberglass,Solid Core,Flush,Smooth,Half View 9-Lite,Single Prehung,32,80,Right-Hand,Double Bore,,,,Bored,"32 HALF VIEW 9-LITE RH DB",253118,6541998
Exterior Pro Program,Fiberglass,Solid Core,Flush,Smooth,Half View 9-Lite,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 HALF VIEW 9-LITE LH DB",253121,6541995
Exterior Pro Program,Fiberglass,Solid Core,Flush,Smooth,Half View 9-Lite,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 HALF VIEW 9-LITE RH DB",253120,6541989
Exterior Pro Program,Fiberglass,Solid Core,Craftsman,Smooth,6-Lite Shaker,Single Prehung,32,80,Left-Hand,Double Bore,,,,Bored,"32 6-LITE SHAKER CRFTSMNLH DB",833546,6541992
Exterior Pro Program,Fiberglass,Solid Core,Craftsman,Smooth,6-Lite Shaker,Single Prehung,32,80,Right-Hand,Double Bore,,,,Bored,"32 6-LITE SHAKER CRFTSMN RH DB",833547,6541980
Exterior Pro Program,Fiberglass,Solid Core,Craftsman,Smooth,6-Lite Shaker,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 6-LITE SHAKER CRFTSMN LH DB",833538,6541991
Exterior Pro Program,Fiberglass,Solid Core,Craftsman,Smooth,6-Lite Shaker,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 6-LITE SHAKER CRFTSMN RH DB",833539,6541984
Exterior Pro Program,Fiberglass,Solid Core,Flush,Smooth,4-Lite 3/4 View,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 4-LITE 3/4 VIEW LH DB",5300651,6541983
Exterior Pro Program,Fiberglass,Solid Core,Flush,Smooth,4-Lite 3/4 View,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 4-LITE 3/4 VIEW RH DB",5300652,6541978
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Smooth,Linea Reed 7x64,Single Prehung,36,80,Left-Hand,,,Composite Jamb,Bored,"36 LINEA REED 7X64 LH CJ",5111595,6542014
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Smooth,Linea Reed 7x64,Single Prehung,36,80,Right-Hand,,,Composite Jamb,Bored,"36 LINEA REED 7X64 RH CJ",5111594,6542021
Exterior Pro Program,Fiberglass,Solid Core,Craftsman,Smooth,Emerson Zinc,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 EMERSON CRFTSMN ZINC LH DB",15729,6542000
Exterior Pro Program,Fiberglass,Solid Core,Craftsman,Smooth,Emerson Zinc,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 EMERSON CRFTSMN ZINC RH DB",22570,6541996
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Smooth,Varissa 3/4 Oval Zinc,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 VARISSA 3/4 OVAL ZINC LH DB",5459129,6542010
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Smooth,Varissa 3/4 Oval Zinc,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 VARISSA 3/4 OVAL ZINC RH DB",5459127,6542012
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Smooth,Full View Decorative Patina,Single Prehung,36,80,Left-Hand,Double Bore,,,Composite Jamb,Bored,"36 FULL VIEW DEC PATINA LH DB CJ",5459121,6542015
Exterior Pro Program,Fiberglass,Solid Core,Decorative,Smooth,Full View Decorative Patina,Single Prehung,36,80,Right-Hand,Double Bore,,,Composite Jamb,Bored,"36 FULL VIEW DEC PATINA RH DB CJ",5459120,6542007
Exterior Pro Program,Wood,Solid Core,6 Panel,Fir,,Slab,32,80,,"1-3/4""",,,Bored,"PRO MAS 32 6PNL FIR WD 1-3/4 SLAB",738791,6542026
Exterior Pro Program,Wood,Solid Core,6 Panel,Fir,,Slab,36,80,,"1-3/4""",,,Bored,"PRO MAS 36 6PNL FIR WD 1-3/4 SLAB",738792,6542028
Exterior Pro Program,Wood,Solid Core,9 Lite,Fir,9-Lite,Slab,32,80,,"1-3/4""",,,Bored,"PRO MAS 32 9 LT FIR WD 1-3/4 SLAB",738793,6542027
Exterior Pro Program,Wood,Solid Core,9 Lite,Fir,9-Lite,Slab,36,80,,"1-3/4""",,,Bored,"PRO MAS 36 9 LT FIR WD 1-3/4 SLAB",738794,6542024
Exterior Pro Program,Component,,Jamb Extension Kit,Woodgrain,,,36,,,,"6-9/16""",,,"WG RB 36 JAMB EXTENSION KT 6-9/16",245205,5740279
Interior Pro Express,Molded,Hollow Core,1 Panel Square,Flat,,Slab,24,80,,,,,,No,"PROW 24 1PSQ MLD SM HC SLAB",5509342,1170119
Interior Pro Express,Molded,Hollow Core,1 Panel Square,Flat,,Slab,28,80,,,,,,No,"PROW 28 1PSQ MLD SM HC SLAB",5509353,1169232
Interior Pro Express,Molded,Hollow Core,1 Panel Square,Flat,,Slab,30,80,,,,,,No,"PROW 30 1PSQ MLD SM HC SLAB",5509346,1169259
Interior Pro Express,Molded,Hollow Core,1 Panel Square,Flat,,Slab,32,80,,,,,,No,"PROW 32 1PSQ MLD SM HC SLAB",5509338,1169276
Interior Pro Express,Molded,Hollow Core,1 Panel Square,Flat,,Slab,36,80,,,,,,No,"PROW 36 1PSQ MLD SM HC SLAB",5509336,1168731
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Bi-fold,24,80,,,,,,2 Door,,"PROW 24 1P MLD HC Bi-Fold",5509337,1168793
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Bi-fold,30,80,,,,,,2 Door,,"PROW 30 1P MLD HC Bi-Fold",5509349,1170141
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Bi-fold,36,80,,,,,,2 Door,,"PROW 36 1P MLD HC Bi-Fold",5509343,1170126
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,24,80,Left-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 24 1P MLD HC LH PFJ NCSG BL",5509473,1170066
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,24,80,Right-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 24 1P MLD HC RH PFJ NCSG BL",5509448,1169407
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,28,80,Left-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 28 1P MLD HC LH PFJ NCSG BL",5509441,1170129
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,28,80,Right-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 28 1P MLD HC RH PFJ NCSG BL",5509446,1168738
Interior Pro Express,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,30,80,Left-Hand,Flat Jamb,No Casing,Black,,Bored,"PROW 30 1P MLD HC LH PFJ NCSG BL",5509474,1169429
